id,year,agekdbrn,educ
2,2000,20,15
4,2000,29,14
8,2000,21,14
9,2000,35,18
10,2000,25,16
11,2000,22,18
12,2000,47,20
13,2000,34,12
15,2000,25,16
16,2000,25,16
17,2000,28,15
19,2000,37,8
20,2000,21,12
21,2000,27,16
22,2000,29,17
24,2000,26,16
25,2000,22,16
26,2000,19,12
27,2000,33,12
29,2000,22,12
31,2000,24,12
32,2000,29,17
33,2000,22,12
42,2000,21,14
43,2000,25,12
47,2000,24,18
48,2000,23,12
49,2000,21,16
50,2000,36,16
52,2000,27,16
53,2000,28,16
56,2000,18,12
57,2000,22,12
58,2000,23,18
61,2000,22,17
62,2000,27,20
65,2000,20,8
66,2000,22,12
67,2000,19,14
69,2000,25,12
71,2000,20,10
73,2000,17,12
76,2000,16,11
77,2000,19,9
79,2000,29,19
82,2000,24,14
83,2000,25,19
84,2000,23,15
88,2000,33,16
90,2000,27,12
92,2000,36,14
98,2000,28,18
99,2000,23,16
101,2000,35,19
103,2000,38,16
104,2000,25,16
106,2000,25,17
107,2000,28,16
109,2000,26,16
112,2000,32,12
113,2000,27,16
114,2000,21,16
115,2000,16,9
117,2000,20,12
118,2000,17,8
119,2000,20,11
120,2000,18,11
122,2000,15,10
123,2000,25,8
126,2000,20,12
127,2000,25,8
129,2000,29,11
134,2000,21,14
135,2000,21,12
138,2000,23,12
139,2000,20,11
142,2000,26,11
144,2000,20,9
145,2000,19,9
146,2000,27,14
147,2000,19,12
148,2000,14,12
149,2000,16,16
151,2000,19,14
152,2000,25,11
153,2000,23,14
154,2000,35,12
156,2000,18,14
157,2000,25,12
158,2000,34,12
159,2000,19,20
160,2000,22,16
161,2000,22,12
162,2000,20,12
163,2000,19,10
165,2000,31,16
166,2000,27,16
168,2000,26,12
169,2000,19,10
170,2000,33,14
173,2000,25,14
174,2000,20,12
175,2000,26,16
176,2000,42,16
177,2000,24,12
178,2000,27,19
179,2000,27,14
181,2000,29,16
182,2000,37,12
183,2000,38,16
186,2000,20,20
187,2000,25,19
189,2000,30,16
193,2000,34,8
197,2000,18,11
200,2000,18,11
201,2000,21,15
202,2000,20,12
203,2000,18,11
204,2000,26,16
205,2000,31,16
207,2000,30,12
212,2000,21,12
213,2000,36,12
214,2000,25,19
216,2000,20,12
218,2000,22,12
220,2000,29,18
221,2000,26,15
225,2000,20,12
228,2000,25,8
229,2000,22,12
232,2000,42,16
233,2000,25,14
236,2000,18,10
237,2000,23,9
239,2000,22,18
241,2000,28,18
242,2000,24,19
243,2000,32,14
244,2000,20,12
245,2000,28,12
248,2000,29,11
249,2000,34,14
250,2000,26,16
251,2000,35,14
252,2000,34,17
253,2000,19,14
254,2000,22,14
256,2000,26,16
257,2000,22,8
259,2000,31,12
260,2000,22,15
261,2000,22,12
263,2000,20,12
264,2000,28,12
265,2000,24,11
268,2000,18,12
270,2000,19,12
271,2000,30,16
275,2000,17,12
276,2000,17,11
277,2000,22,14
278,2000,15,8
279,2000,18,11
280,2000,16,12
281,2000,17,11
282,2000,17,10
283,2000,17,18
284,2000,29,12
286,2000,20,12
288,2000,24,12
289,2000,19,12
290,2000,19,12
291,2000,15,8
294,2000,17,14
296,2000,25,14
297,2000,27,11
299,2000,20,14
300,2000,19,12
301,2000,21,12
302,2000,17,12
303,2000,18,8
304,2000,25,12
305,2000,25,16
306,2000,26,16
307,2000,31,12
308,2000,39,18
310,2000,24,18
312,2000,32,16
313,2000,33,16
319,2000,25,14
320,2000,34,20
325,2000,29,17
330,2000,27,12
331,2000,26,12
332,2000,30,11
