id,hours,class,racehisp,region
1,40,Middle,White,Midwest
2,38,Middle,Hispanic,Midwest
4,60,Middle,White,Midwest
5,44,Middle,White,Midwest
6,40,Working,White,Midwest
7,55,Middle,White,Midwest
8,42,Middle,White,Midwest
9,50,Middle,White,Midwest
10,60,Upper,White,Midwest
11,50,Middle,White,Midwest
12,40,Middle,White,Midwest
13,45,Working,White,Midwest
14,50,Middle,White,Midwest
16,48,Middle,Black,Midwest
18,40,Working,White,Midwest
19,50,Working,Hispanic,Midwest
21,50,Upper,White,Midwest
22,40,Upper,White,Midwest
32,40,Working,White,Midwest
34,60,Working,White,Midwest
36,52,Working,Hispanic,Midwest
38,45,Working,White,Midwest
39,50,Middle,Hispanic,Midwest
42,45,Middle,White,Midwest
45,40,Working,White,Midwest
46,30,Working,Hispanic,Midwest
48,20,Upper,White,Midwest
49,40,Middle,White,Midwest
52,12,Upper,White,Midwest
53,50,Middle,White,Midwest
55,35,Working,Other,Midwest
56,40,Lower,Black,Midwest
57,40,Working,White,Midwest
58,40,Middle,White,Midwest
62,55,Middle,Hispanic,Midwest
63,50,Working,Black,Midwest
65,5,Working,White,Midwest
67,30,Middle,White,Midwest
76,40,Working,Black,Midwest
79,40,Working,Black,Midwest
80,40,Middle,Black,Midwest
81,32,Working,Black,Midwest
82,16,Middle,White,Midwest
85,27,Middle,Black,Midwest
88,40,Working,Black,Midwest
92,70,Middle,White,Midwest
93,43,Working,White,Midwest
95,70,Working,White,Midwest
96,50,Middle,White,Midwest
97,40,Middle,White,Midwest
98,10,Middle,White,Midwest
100,55,Middle,White,Midwest
101,40,Middle,White,Midwest
102,45,Middle,White,Midwest
104,40,Middle,Other,Midwest
107,40,Middle,White,Midwest
108,50,Middle,White,Midwest
110,40,Working,Other,Midwest
111,30,Working,White,Midwest
112,40,Working,Black,Midwest
113,45,Middle,Other,Midwest
114,45,Middle,Other,Midwest
115,40,Middle,Black,Midwest
117,49,Working,White,Midwest
124,50,Working,White,Middle Atlantic
126,40,Working,White,Middle Atlantic
127,40,Middle,Hispanic,Middle Atlantic
128,45,Lower,Hispanic,Middle Atlantic
132,55,Lower,White,Middle Atlantic
133,45,Working,White,Middle Atlantic
134,32,Lower,Black,Middle Atlantic
136,40,Working,White,Middle Atlantic
146,46,Working,Black,Southeast
147,40,Working,Black,Southeast
148,40,Working,Black,Southeast
149,48,Middle,Black,Southeast
151,50,Working,Hispanic,Southeast
153,35,Middle,White,Middle Atlantic
154,40,Working,White,Middle Atlantic
155,40,Working,Black,Middle Atlantic
156,42,Working,White,Middle Atlantic
158,40,Working,White,Middle Atlantic
159,40,Middle,White,Middle Atlantic
160,40,Middle,White,Middle Atlantic
162,40,Working,White,Middle Atlantic
163,20,Working,White,Middle Atlantic
164,40,Upper,White,Middle Atlantic
165,24,Upper,White,Middle Atlantic
166,38,Middle,White,Middle Atlantic
169,40,Working,White,Middle Atlantic
170,50,Middle,White,Middle Atlantic
171,45,Working,White,Middle Atlantic
172,45,Working,White,Middle Atlantic
173,40,Middle,White,Middle Atlantic
175,40,Middle,White,Middle Atlantic
177,40,Middle,White,Middle Atlantic
179,40,Middle,White,Middle Atlantic
181,42,Middle,Other,Middle Atlantic
183,49,Middle,Black,Middle Atlantic
184,45,Middle,White,Middle Atlantic
185,40,Middle,White,Middle Atlantic
186,40,Middle,White,Middle Atlantic
187,48,Middle,White,Middle Atlantic
188,60,Middle,Black,Middle Atlantic
189,70,Middle,White,Middle Atlantic
190,60,Middle,White,West
191,40,Middle,White,West
192,25,Middle,White,West
195,40,Middle,Hispanic,West
196,40,Middle,White,West
201,35,Working,Black,West
204,35,Middle,White,West
205,6,Middle,White,West
206,60,Middle,White,West
207,45,Middle,White,West
208,32,Middle,White,West
209,40,Middle,Hispanic,West
213,40,Working,White,West
216,40,Working,White,West
219,50,Middle,Hispanic,West
220,40,Middle,White,West
221,40,Working,Hispanic,West
223,60,Working,Hispanic,West
224,25,Middle,White,West
229,46,Working,White,West
230,45,Working,Other,West
231,40,Middle,White,West
232,72,Working,Hispanic,West
234,40,Working,White,West
237,50,Working,Other,West
238,40,Middle,White,West
245,30,Middle,Hispanic,West
247,40,Middle,White,West
248,40,Lower,Other,West
249,40,Working,Other,West
252,45,Middle,White,West
255,70,Middle,White,West
259,21,Middle,White,Midwest
260,56,Working,White,Midwest
261,55,Working,White,Midwest
262,31,Working,White,Midwest
264,60,Working,White,Midwest
266,30,Middle,White,Midwest
269,55,Middle,White,Midwest
271,60,Working,Black,Midwest
272,37,Working,White,Midwest
273,49,Working,Other,Midwest
275,62,Working,Black,Midwest
276,27,Middle,Black,Midwest
282,30,Working,Black,Midwest
284,25,Working,Black,Midwest
286,40,Working,Black,Midwest
287,30,Middle,Black,Midwest
288,40,Middle,Black,Midwest
289,40,Working,Black,Midwest
291,40,Working,Black,Midwest
292,40,Middle,Black,Midwest
293,40,Middle,Black,Midwest
294,35,Working,Black,Midwest
296,80,Working,White,Midwest
298,64,Working,Black,Midwest
299,22,Lower,Black,Midwest
300,37,Working,Black,Midwest
