year,id,agekdbrn,educ,racehisp
2000,2,20,15,Hispanic
2000,3,19,13,White
2000,4,29,14,White
2000,8,21,14,White
2000,9,35,18,White
2000,10,25,16,White
2000,11,22,18,White
2000,12,47,20,White
2000,13,34,12,White
2000,15,25,16,White
2000,16,25,16,Black
2000,17,28,15,White
2000,19,37,8,Hispanic
2000,20,21,12,Black
2000,21,27,16,White
2000,22,29,17,White
2000,24,26,16,White
2000,25,22,16,White
2000,26,19,12,White
2000,27,33,12,White
2000,28,18,13,White
2000,29,22,12,White
2000,30,24,13,White
2000,31,24,12,White
2000,32,29,17,White
2000,33,22,12,Black
2000,42,21,14,White
2000,43,25,12,Black
2000,47,24,18,White
2000,48,23,12,White
2000,49,21,16,White
2000,50,36,16,White
2000,52,27,16,White
2000,53,28,16,White
2000,54,20,13,White
2000,56,18,12,Black
2000,57,22,12,White
2000,58,23,18,White
2000,61,22,17,White
2000,62,27,20,Hispanic
2000,65,20,8,White
2000,66,22,12,Black
2000,67,19,14,White
2000,69,25,12,Black
2000,71,20,10,Black
2000,73,17,12,Black
2000,76,16,11,Black
2000,77,19,9,Black
2000,78,25,13,Black
2000,79,29,19,Black
2000,81,22,13,Black
2000,82,24,14,White
2000,83,25,19,Black
2000,84,23,15,Black
2000,85,16,13,Black
2000,86,35,13,White
2000,88,33,16,Black
2000,90,27,12,White
2000,91,23,13,White
2000,92,36,14,White
2000,98,28,18,White
2000,99,23,16,White
2000,101,35,19,White
2000,103,38,16,White
2000,104,25,16,Other
2000,105,35,13,White
2000,106,25,17,White
2000,107,28,16,White
2000,109,26,16,White
2000,112,32,12,Black
2000,113,27,16,Other
2000,114,21,16,Other
2000,115,16,9,Black
2000,117,20,12,White
2000,118,17,8,White
2000,119,20,11,White
2000,120,18,11,White
2000,121,17,13,Hispanic
2000,122,15,10,White
2000,123,25,8,White
2000,125,20,13,Hispanic
2000,126,20,12,White
2000,127,25,8,Hispanic
2000,129,29,11,Black
2000,134,21,14,Black
2000,135,21,12,Black
2000,138,23,12,White
2000,139,20,11,Black
2000,140,18,13,Black
2000,142,26,11,Black
2000,144,20,9,White
2000,145,19,9,White
2000,146,27,14,Black
2000,147,19,12,Black
2000,148,14,12,Black
2000,149,16,16,Black
2000,151,19,14,Hispanic
2000,152,25,11,Hispanic
2000,153,23,14,White
2000,154,35,12,White
2000,155,24,13,Black
2000,156,18,14,White
2000,157,25,12,White
2000,158,34,12,White
2000,159,19,20,White
2000,160,22,16,White
2000,161,22,12,Black
2000,162,20,12,White
2000,163,19,10,White
2000,165,31,16,White
2000,166,27,16,White
2000,168,26,12,White
2000,169,19,10,White
2000,170,33,14,White
2000,173,25,14,White
2000,174,20,12,White
2000,175,26,16,White
2000,176,42,16,White
2000,177,24,12,White
2000,178,27,19,White
2000,179,27,14,White
2000,180,25,13,White
2000,181,29,16,Other
2000,182,37,12,White
2000,183,38,16,Black
2000,186,20,20,White
2000,187,25,19,White
2000,189,30,16,White
2000,193,34,8,White
2000,197,18,11,Black
2000,198,19,13,Other
2000,200,18,11,Black
2000,201,21,15,Black
2000,202,20,12,Black
2000,203,18,11,Black
2000,204,26,16,White
2000,205,31,16,White
2000,207,30,12,White
2000,210,22,13,White
2000,212,21,12,White
2000,213,36,12,White
2000,214,25,19,Hispanic
2000,216,20,12,White
2000,218,22,12,Hispanic
2000,219,23,13,Hispanic
2000,220,29,18,White
2000,221,26,15,Hispanic
2000,223,23,13,Hispanic
2000,225,20,12,White
2000,228,25,8,Hispanic
2000,229,22,12,White
2000,232,42,16,Hispanic
2000,233,25,14,White
2000,236,18,10,White
2000,237,23,9,Other
2000,239,22,18,White
2000,240,29,13,White
2000,241,28,18,White
2000,242,24,19,White
2000,243,32,14,White
2000,244,20,12,Hispanic
2000,245,28,12,Hispanic
2000,248,29,11,Other
2000,249,34,14,Other
2000,250,26,16,White
2000,251,35,14,White
2000,252,34,17,White
2000,253,19,14,White
2000,254,22,14,White
2000,256,26,16,White
2000,257,22,8,White
2000,259,31,12,White
2000,260,22,15,White
2000,261,22,12,White
2000,262,21,13,White
2000,263,20,12,White
2000,264,28,12,White
2000,265,24,11,White
2000,268,18,12,Hispanic
2000,270,19,12,Black
2000,271,30,16,Black
2000,275,17,12,Black
2000,276,17,11,Black
2000,277,22,14,Black
2000,278,15,8,Black
2000,279,18,11,Black
2000,280,16,12,Black
2000,281,17,11,Black
2000,282,17,10,Black
2000,283,17,18,Black
2000,284,29,12,Black
2000,286,20,12,Black
2000,288,24,12,Black
2000,289,19,12,Black
2000,290,19,12,Black
2000,291,15,8,Black
2000,294,17,14,Black
2000,296,25,14,White
2000,297,27,11,Black
2000,298,18,13,Black
2000,299,20,14,Black
2000,300,19,12,Black
2000,301,21,12,Black
2000,302,17,12,Black
2000,303,18,8,Black
2000,304,25,12,White
2000,305,25,16,White
2000,306,26,16,White
2000,307,31,12,White
2000,308,39,18,White
2000,310,24,18,White
2000,312,32,16,White
2000,313,33,16,White
2000,319,25,14,White
2000,320,34,20,White
2000,324,26,13,White
2000,325,29,17,White
2000,330,27,12,White
2000,331,26,12,White
2000,332,30,11,White
2000,333,29,14,White
2000,334,23,12,White
2000,335,26,16,White
2000,336,26,14,White
2000,340,30,20,White
2000,341,23,12,White
2000,342,22,14,White
2000,343,30,12,White
2000,344,17,10,White
2000,346,35,14,White
2000,350,38,13,White
2000,351,17,12,White
2000,352,26,12,Other
2000,353,22,12,White
2000,355,32,13,Hispanic
2000,356,29,16,White
2000,358,15,18,White
2000,359,19,14,White
2000,361,32,10,White
2000,362,35,16,White
2000,366,31,16,White
2000,368,26,14,Black
2000,369,21,15,Hispanic
2000,370,18,12,White
2000,375,35,16,White
2000,376,25,13,Black
2000,380,29,16,Other
2000,382,18,12,White
2000,383,25,15,White
2000,384,26,12,White
2000,386,21,12,White
2000,387,24,15,Other
2000,388,32,14,White
2000,389,30,17,White
2000,390,21,14,Other
2000,392,22,14,White
2000,393,23,12,White
2000,394,30,20,White
2000,395,37,18,White
2000,397,20,12,White
2000,401,17,17,White
2000,402,18,18,White
2000,405,21,11,Black
2000,407,15,12,White
2000,408,27,19,Other
2000,409,29,12,Hispanic
2000,411,27,12,White
2000,413,20,13,White
2000,414,26,17,White
2000,415,29,17,Hispanic
2000,416,23,14,Hispanic
2000,417,20,16,White
2000,419,18,14,White
2000,421,35,16,White
2000,422,23,15,White
2000,423,18,14,White
2000,425,27,14,White
2000,426,18,15,White
2000,427,19,13,White
2000,428,21,12,Hispanic
2000,432,31,17,Hispanic
2000,434,23,14,White
2000,435,19,13,White
2000,436,28,15,Hispanic
2000,439,31,12,Other
2000,440,20,10,White
2000,441,30,11,White
2000,442,24,16,White
2000,443,21,12,White
2000,445,24,14,Black
2000,447,26,17,White
2000,448,19,13,White
2000,449,17,11,White
2000,451,21,14,Hispanic
2000,453,17,12,Hispanic
2000,455,26,13,White
2000,459,22,12,Hispanic
2000,460,24,16,Hispanic
2000,461,22,12,White
2000,462,32,14,White
2000,463,20,13,Hispanic
2000,466,17,12,Hispanic
2000,467,21,10,Hispanic
2000,468,18,12,Hispanic
2000,469,22,9,Hispanic
2000,470,17,16,Black
2000,471,20,12,Hispanic
2000,472,31,20,Black
2000,473,27,12,White
2000,474,19,12,White
2000,475,21,12,Black
2000,476,18,17,Black
2000,477,18,12,Hispanic
2000,478,32,13,White
2000,479,24,11,White
2000,480,20,16,Other
2000,481,24,16,White
2000,483,24,13,White
2000,485,19,16,Black
2000,487,22,10,Hispanic
2000,488,25,12,Black
2000,489,26,12,Hispanic
2000,490,24,14,Hispanic
2000,491,29,18,White
2000,497,23,18,White
2000,498,24,13,Black
2000,500,17,12,Hispanic
2000,501,16,12,Black
2000,502,33,17,Other
2000,504,20,9,Hispanic
2000,505,22,9,Black
2000,507,19,13,Hispanic
2000,510,25,12,Black
2000,512,24,12,Black
2000,513,23,12,Hispanic
2000,514,16,9,Black
2000,515,17,10,Black
2000,516,22,14,Black
2000,517,25,10,Black
2000,518,34,14,Hispanic
2000,519,18,9,White
2000,520,20,12,Hispanic
2000,521,21,12,Hispanic
2000,524,25,8,White
2000,527,22,12,White
2000,530,30,13,White
2000,533,32,8,Other
2000,534,25,12,Hispanic
2000,535,19,11,Hispanic
